model_family,split,task,accuracy,precision,recall,f1,average_precision,brier_score,roc_auc,mae,rmse,r2,spearman,precision_at_10,recall_at_10,top10_overlap,ndcg_at_10
current_evaluation_baseline,validation,top10,0.837160751565762,0.8319672131147541,0.8458333333333333,0.8388429752066116,0.8951166527874721,0.12101102860854093,0.9089783821478381,,,,,,,,
current_evaluation_baseline,test,top10,0.7620041753653445,0.7560975609756098,0.775,0.7654320987654321,0.8206414842789829,0.16587547035206668,0.8346408647140866,,,,,,,,
current_evaluation_baseline,validation,podium,0.8747390396659708,0.5526315789473685,0.875,0.6774193548387096,0.6394780782973682,0.09301346411014223,0.9259486759486759,,,,,,,,
current_evaluation_baseline,test,podium,0.8914405010438413,0.5909090909090909,0.9027777777777778,0.7142857142857143,0.7341955984604142,0.08093075460055929,0.9426358176358177,,,,,,,,
current_evaluation_baseline,validation,points,,,,,,,,2.592831199874009,4.270141054061739,0.6506232353515304,0.7934881570155444,,,,
current_evaluation_baseline,test,points,,,,,,,,2.919343679131102,4.499972409547522,0.6068128007433635,0.7040223550870846,,,,
pre_quali_evaluation,validation,top10,0.8079331941544885,0.8425925925925926,0.7583333333333333,0.7982456140350878,0.8562766033561113,0.14806071413356878,0.8610878661087866,,,,,,,,
pre_quali_evaluation,validation,podium,0.8204592901878914,0.44776119402985076,0.8333333333333334,0.5825242718446602,0.500240820052474,0.11205630289441741,0.8803235053235053,,,,,,,,
pre_quali_evaluation,validation,points,,,,,,,,3.241337582038809,4.9580912001456445,0.5289808130189007,0.7071330708095094,,,,
pre_quali_evaluation,validation,ranking,,,,,,,,,,,,0.7958333333333334,0.7958333333333334,7.958333333333333,0.8411516268775149
pre_quali_evaluation,test,top10,0.7098121085594989,0.7327188940092166,0.6625,0.6958424507658644,0.7622552786342145,0.19623106869716606,0.771565550906555,,,,,,,,
pre_quali_evaluation,test,podium,0.8329853862212944,0.46825396825396826,0.8194444444444444,0.5959595959595959,0.5978733778990418,0.10715701495042648,0.8967717717717718,,,,,,,,
pre_quali_evaluation,test,points,,,,,,,,3.6659978155672768,5.305830947390743,0.4533787822297548,0.5959589467935817,,,,
pre_quali_evaluation,test,ranking,,,,,,,,,,,,0.7041666666666666,0.7041666666666666,7.041666666666667,0.7667886031311645
post_quali_evaluation,validation,top10,0.8392484342379958,0.8247011952191236,0.8625,0.8431771894093686,0.8939430795499257,0.12191572540669827,0.9068688981868899,,,,,,,,
post_quali_evaluation,validation,podium,0.8914405010438413,0.6041666666666666,0.8055555555555556,0.6904761904761905,0.6308046710634889,0.09416699570167797,0.9261534261534262,,,,,,,,
post_quali_evaluation,validation,points,,,,,,,,2.6402664384372057,4.304096380346177,0.6450447924757811,0.7893312338901731,,,,
post_quali_evaluation,validation,ranking,,,,,,,,,,,,0.8416666666666667,0.8416666666666667,8.416666666666666,0.8769314651195058
post_quali_evaluation,test,top10,0.7599164926931107,0.7450980392156863,0.7916666666666666,0.7676767676767676,0.8216975234395676,0.1649759944367739,0.8358960948396096,,,,,,,,
post_quali_evaluation,test,podium,0.8997912317327766,0.6224489795918368,0.8472222222222222,0.7176470588235294,0.7264493152417262,0.08003689333934849,0.9406906906906908,,,,,,,,
post_quali_evaluation,test,points,,,,,,,,2.9515166509418216,4.509501180518263,0.6051458760758188,0.7008114450149965,,,,
post_quali_evaluation,test,ranking,,,,,,,,,,,,0.7666666666666666,0.7666666666666666,7.666666666666667,0.8186446101027371
